address,city,country,gmaps_place_id,gmaps_url,key,lat,lng,location_name,motto,name,nickname,postal_code,rookie_year,state_prov,team_number,website,home_championship.2017,home_championship.2018,district
NA,Denton,USA,NA,NA,frc5212,NA,NA,NA,NA,Texas Instruments/Dell/University of North Texas/Friends and Family of Team 5212&Texas Academy of Mathematics and Science,TAMSformers Robotics ,76203,2014,Texas,5212,http://tamsformers.weebly.com/,Houston,Houston,tx
NA,Dallas,USA,NA,NA,frc5242,NA,NA,NA,NA,Texas Instruments/Dell-EMC/Exchange Club of East Dallas/Texas Workforce Comission/Woodrow Wilson High School Robotics Boosters/Angels of Blue Protective Services/The Microsurgery Spine and Pain Institute/Dallas Independent School District&Woodrow Wilson H S, RoboCats ,75214,2014,Texas,5242,http://wwhsrobocats.wixsite.com/5242,Houston,Houston,tx
NA,Humble,USA,NA,NA,frc5261,NA,NA,NA,NA,NRG & Summer Creek H S,Cyber Shock,77338,2014,Texas,5261,http://www.firstinspires.org/,Houston,Houston,tx
NA,Prosper,USA,NA,NA,frc5411,NA,NA,NA,NA,Lockheed Martin/Texas Instruments/Texas Workforce Commission/Prosper Independent School District/Altice/First in Texas&Prosper H S,PowerEagle,75078,2015,Texas,5411,http://www.firstinspires.org/,Houston,Houston,tx
NA,Pearland,USA,NA,NA,frc5414,NA,NA,NA,NA,NASA/Boeing/Texas Workforce Commission/Aura Engineering/Primrose of Clear Lake/BNY Mellon/Jacobs&Robert Turner College and Career H S&Glenda Dawson H S&Pearland H S,Pearadox,77584,2015,Texas,5414,https://www.pearadox5414.org,Houston,Houston,tx
NA,Allen,USA,NA,NA,frc5417,NA,NA,NA,NA,Texas Instruments/Boeing/FIRST in Texas/Texas Workforce Commission/IBM/Raytheon/Greg Gorman/Multisensory Reading Center/Allen Arts Alliance/Datawrx.com/FCS Construction/Seimens&Allen H S,Eagle Robotics,75002,2015,Texas,5417,http://team5417.wixsite.com/home,Houston,Houston,tx
NA,Katy,USA,NA,NA,frc5427,NA,NA,NA,NA,Dell/Oceaneering/Lowe's/Exxon/Mobil/The Hydrographic Society of America - Houston Chapter&Obra D. Tompkins High School,Steel Talons,77494,2015,Texas,5427,http://www.tompkins-robotics.weebly.com,Houston,Houston,tx
NA,Plano,USA,NA,NA,frc5431,NA,NA,NA,NA,Flowserve/FIRST In Texas/Cali Kind/Texas Workforce Commission/Microsoft/Texas Instruments/BAE/Alliance Data/TIL Investments/Plano ISD/Titan Robotics Booster Club/MariaDB/Diamond Data Systems/Raising Canes&Plano Isd Academy H S,Titan Robotics in memory of Jordan Grant,75075,2015,Texas,5431,http://www.frc5431.com,Houston,Houston,tx
NA,Smithville,USA,NA,NA,frc5503,NA,NA,NA,NA,Smithville H S & Smithville H S,Smithville Tiger Trons,78957,2015,Texas,5503,http://www.firstinspires.org/,Houston,Houston,tx
NA,San Antonio,USA,NA,NA,frc5572,NA,NA,NA,NA,Andeavor/North East I.S.D. STEM Academy/Rackspace/Booz Allen Hamilton/Triple Crown Resource&Lee H S,ROSBOTS,78213,2015,Texas,5572,http://www.frc5572.org,Houston,Houston,tx
NA,Alamogordo,USA,NA,NA,frc5613,NA,NA,NA,NA,The Boeing Company/United States Air Force STEM/Society of Women Engineers/Farmers Insurance John Glass/First National Bank of Alamogordo/OteroSTEM/ETV&Alamogordo High&Imago Dei Academy&Cloudcroft High&Home School,ThunderDogs,88310,2015,New Mexico,5613,http://www.thunderdogs5613.com,Houston,Houston,tx
NA,San Antonio,USA,NA,NA,frc5681,NA,NA,NA,NA,Texas Workforce Commission&Southwest H S,Dragonbots,78252,2015,Texas,5681,http://www.firstinspires.org/,Houston,Houston,tx
NA,Mesquite,USA,NA,NA,frc5682,NA,NA,NA,NA,Boeing/Texas Workforce Commission&North Mesquite H S,Equus Engineering,75150,2015,Texas,5682,http://www.firstinspires.org/,Houston,Houston,tx
NA,San Antonio,USA,NA,NA,frc5726,NA,NA,NA,NA,Texas Workforce Commission&STEM Early College High School,RHUMBOTZ,78214,2015,Texas,5726,https://www.facebook.com/STEM-ECHS-Robotics-232793157072084/info/?tab=page_info,Houston,Houston,tx
NA,San Antonio,USA,NA,NA,frc5754,NA,NA,NA,NA,South Texas Solar/Texas Workforce Commission/Solis and Smith llc&Brooks Academy of Science and Engineering,Brooks Academy Robotics,78235,2015,Texas,5754,http://www.firstinspires.org/,Houston,Houston,tx
NA,Eunice,USA,NA,NA,frc5783,NA,NA,NA,NA,Eunice Public Schools/Cardinal Hardware/URENCO USA&Eunice High,RoboDucks,88231,2015,New Mexico,5783,Coming Soon,Houston,Houston,tx
NA,Houston,USA,NA,NA,frc5829,NA,NA,NA,NA,Awty International School/Lincoln Electric/Texas Metal Specialty/Surface Techniques&Awty International School,AwtyBots,77055,2016,Texas,5829,http://www.awtybots.org,Houston,Houston,tx
NA,Wolfforth,USA,NA,NA,frc5866,NA,NA,NA,NA,Texas Workforce Commission/Tucker/Mooney Family/Skeen's Construction Inc.  /Frenship ISD Career and Technology Education/Frazier Family&Frenship H S,Fe [Iron] Tigers,79382,2016,Texas,5866,http://jholloway59.wixsite.com/frenshipengineering,Houston,Houston,tx
NA,Lubbock,USA,NA,NA,frc5888,NA,NA,NA,NA,"FIRST In Texas/BB-8 Builders Club/Coronado High School-LISD/City Bank/Ventura/Robinson, Burdette, Martin & Seright, LLP/BSA  Consulting Engineers/Sam's Club/Irrigation Dynamics & Coronado H S",M.E.T.A. Robotics,79410,2016,Texas,5888,Coming Soon,Houston,Houston,tx
NA,Houston,USA,NA,NA,frc5892,NA,NA,NA,NA,"Bechtel/Oceaneering/Williams Company/Hasty-Bake Charcoal Grills/Salaberry-Tort Family/Pfizer/Kahanek, Franke, and Associates, LLC/Mitchell D and Karen B Lukin Fund/Texas Workforce Commission/Steptoe Ventures/Roberts Tax Appeals/Manning Family/CommunityBank of Texas/Centerpoint Energy/TX/RX Labs&Energy Institute High School",Energy HEROs,77004,2016,Texas,5892,https://www.team5892.com,Houston,Houston,tx
NA,Edinburg,USA,NA,NA,frc5894,NA,NA,NA,NA,Amaida Machine Shop/University Auto Body & Collision&Economedes H S,J.E.H.S. CyberJags,78542,2016,Texas,5894,https://www.facebook.com/FRC-Team-5894-CyberJags-505679949605420/,Houston,Houston,tx
NA,Stafford,USA,NA,NA,frc5908,NA,NA,NA,NA,Spartans Robotics/Hunting Company/Rudolph Medical Associates/Texas Workforce Commission/Lena Tax Services/Best Burgers/Stafford MSD/FIRST in Texas/HEB/Quoc Hai-Van Charity Foundation/Smart Financial&Stafford H S,Spartans,77477,2016,Texas,5908,http://www.spartans5908robotics.com,Houston,Houston,tx
NA,Angleton,USA,NA,NA,frc5923,NA,NA,NA,NA,Dow Chemical/BASF/FIRST in Texas Foundation/Texas Workforce Commission/Angleton Sheet Metal/Chicken Express/Angleton Education Foundation/NASA&Angleton H S,WildC.A.T.S.,77515,2016,Texas,5923,http://www.firstinspires.org/,Houston,Houston,tx
NA,Mission,USA,NA,NA,frc5960,NA,NA,NA,NA,Royal Technologies/Argosy Foundation/Texas Workforce Commission/FIRST In Texas Foundation/RGV SMART 3/Mission Consolidated Independent School District & Mission H S,Mighty ROBO-RANGERS,78572,2016,Texas,5960,http://roborangers5960.wixsite.com/frc5960,Houston,Houston,tx
NA,San Antonio,USA,NA,NA,frc5986,NA,NA,NA,NA,B.E.A.T. LLC/Eureka Sheet Metal/Texas Workforce Commission/Dassault Systems SolidWorks/Booz Allen Hamilton&Central Catholic High School&Providence Catholic School, Iron Fangs ,78215,2016,Texas,5986,http://www.firstinspires.org/,Houston,Houston,tx
NA,Houston,USA,NA,NA,frc6111,NA,NA,NA,NA,Webster Family /Texas Workforce Commission&Mickey Leland College Preparatory Academy,RoboKnights,77020,2016,Texas,6111,http://www.facebook.com/mlcparobotics,Houston,Houston,tx
NA,North Richland Hills,USA,NA,NA,frc6133,NA,NA,NA,NA,Amwell Fabrication Services Incorporated/Bell Helicopter/Lockheed Martin/Mouser/Texas Workforce Commission/Birdville ISD & Birdville H S & Richland H S & Haltom H S,b a s h,76180,2016,Texas,6133,https://www.birdvilleschools.net/HaltomRobotics,Houston,Houston,tx
NA,El Paso,USA,NA,NA,frc6144,NA,NA,NA,NA,"The Lopez Family/Ms. Angela Glover/Schneider Electric/Valtrek/University of Texas at El Paso, College of Engineering/DoD/FIRST in Texas/National Instruments&Loretto Academy",Angelbots Gold,79903,2016,Texas,6144,Coming Soon,Houston,Houston,tx
NA,San Antonio,USA,NA,NA,frc6155,NA,NA,NA,NA,Lackland AFB CCSD/Best Buy/Dell&Young Women'S Leadership Academy,ElektraBots,78201,2016,Texas,6155,http://www.firstinspires.org/,Houston,Houston,tx
NA,Plano,USA,NA,NA,frc6171,NA,NA,NA,NA,"Chain Reaction Robotics, FRC 6171/Alliance Data/Lear Corporation/Plano ISD/Texas Workforce Commission/Technical Difficulties, FTC Team 7172&Plano Sr H S", Chain Reaction ,75075,2016,Texas,6171,http://www.chainreaction6171.org/,Houston,Houston,tx
NA,Mission,USA,NA,NA,frc6180,NA,NA,NA,NA,Texas Workforce Commission/Royal Technologies&Juan Diego Academy,Mechanical Lions ,78573,2016,Texas,6180,http://www.firstinspires.org/,Houston,Houston,tx
NA,Katy,USA,NA,NA,frc624,NA,NA,NA,NA,"BP America/Oceaneering/Bechtel/Schneider Electric/Exterran/Heyltex/BHP/Phillips 66/Transocean/Wood Group/SubSea 7/Murphy Oil Corporation/ExxonMobil/Williams/The Hydrographic Society of America, Houston Chapter/FedEx/National Instruments/Texas Workforce Commission/Chick-fil-A/Autodesk/SolidWorks/GitHub, Inc&Cinco Ranch H S",CRyptonite,77494,2001,Texas,624,http://www.team624.org,Houston,Houston,tx
NA,San Antonio,USA,NA,NA,frc6306,NA,NA,NA,NA,DoD STEM-Restricted/Analytical Scientific&The Atonement Academy,Atonement Academy CrewStators,78255,2017,Texas,6306,NA,Houston,Houston,tx
NA,Laredo,USA,NA,NA,frc6315,NA,NA,NA,NA,Harmony School of Excellence/TM Logistics/Montes Express LLC/International Bank of Commerce/Harmony School of Excellence - Laredo/Chick-Fil-A Laredo/CPE Energy&Harmony School of Excellence - Laredo,Code Error 404,78041,2017,Texas,6315,NA,Houston,Houston,tx
NA,Leander,USA,NA,NA,frc6321,NA,NA,NA,NA,Leander ISD/FIRST in Texas/Texas Workforce Commission/Integrated Metal Products/Altice/DANA Technologies/Bezos Family Foundation/ABC Copy Company&Rouse H S, R-Cubed  Rouse Raider Robotics ,78641,2017,Texas,6321,http://www.rouserobotics.org,Houston,Houston,tx
NA,Dripping Springs,USA,NA,NA,frc6357,NA,NA,NA,NA,Apple/Texas Workforce Commission/FIRST in Texas/The Rozell Family/Unlimited Power Sports/BAE Systems/Del Angel Photography/Cisco Systems/Cirrus Logic/Solidworks/Intel/Hop'd Up Pizza&Dripping Springs H S,The Spring Konstant,78620,2017,Texas,6357,http://www.springkonstant.org,Houston,Houston,tx
NA,McKinney,USA,NA,NA,frc6369,NA,NA,NA,NA,Emerson Process Management/Best Buy McKinney/Texas Instruments/Raytheon/ Collin County Habitat for Humanity/Texas Workforce Commission/Loews McKinney Store #2878/Camozzi Pneumatics/Mr. Handyman of Midwest Collin County/Rotary Club of McKinney&Family/Community,Mercenary Robotics,75070,2017,Texas,6369,NA,Houston,Houston,tx
NA,Austin,USA,NA,NA,frc6377,NA,NA,NA,NA,ATX Robotics/KLA-Tencor Foundation/Integrated Metal Products/Nolan Ryan Foundation/Rackspace/Qualcomm/Dell & Family/Community,Howdy Bots,78759,2017,Texas,6377,http://www.howdybots.org,Houston,Houston,tx
NA,Killeen,USA,NA,NA,frc647,NA,NA,NA,NA,Texas Workforce Commission/Northrup Grumman/Dynamic Designs/Killeen Independent School District/GEAR UP&Robert M Shoemaker H S,CYBERWOLVES,76549,2001,Texas,647,https://www.killeenisd.org/Schools/templates/basicWithCarousel/basicWithCarousel.cfm?navBarID=7669&cssFileName=blueMedAndWhite.css&campusCode=189,Houston,Houston,tx
NA,Houston,USA,NA,NA,frc6488,NA,NA,NA,NA,NASA/Texas Workforce Commission&Mayde Creek H S,RoboRams,77084,2017,Texas,6488,NA,Houston,Houston,tx
NA,Garland,USA,NA,NA,frc6526,NA,NA,NA,NA,Texas Workforce Commission&Naaman Forest H S,Cyber Rangers,75040,2017,Texas,6526,http:///NFHSREO.weebly.com,Houston,Houston,tx
NA,San Antonio,USA,NA,NA,frc653,NA,NA,NA,NA,Boeing/Texas Workforce Commission & FIRST in Texas/Bezos Foundation&Edison H S,NOSIDE,78212,2001,Texas,653,http://www.edisonengineering.org,Houston,Houston,tx
NA,Magnolia,USA,NA,NA,frc6547,NA,NA,NA,NA,Texas Workforce Commission/Bezos Foundation&Magnolia West H S,Flaming Metal Robotics,77353,2017,Texas,6547,NA,Houston,Houston,tx
NA,Crosby,USA,NA,NA,frc6645,NA,NA,NA,NA,Bezos Family Foundation/First in Texas&Crosby High School,Alloy Obsession,77532,2017,Texas,6645,NA,Houston,Houston,tx
NA,Belton,USA,NA,NA,frc6646,NA,NA,NA,NA,Henry T Waskow H S & Belton H S,Belton Robotics Spacemakers,76513,2017,Texas,6646,NA,Houston,Houston,tx
NA,Arlington,USA,NA,NA,frc6655,NA,NA,NA,NA,"Texas Workforce Comission/Lockheed Martin/SER Jobs for Progress National, Inc.&Sam Houston H S",Texan Robotics,76014,2017,Texas,6655,NA,Houston,Houston,tx
NA,Pharr,USA,NA,NA,frc6664,NA,NA,NA,NA,DELL Corp.&Teenage Parent Prog,LADYBOTS,78577,2017,Texas,6664,NA,Houston,Houston,tx
NA,Fort Worth,USA,NA,NA,frc6671,NA,NA,NA,NA,Diamond Hill-Jarvis H S,Adamas Robotics,76106,2017,Texas,6671,NA,Houston,Houston,tx
NA,Irving,USA,NA,NA,frc6672,NA,NA,NA,NA,Mr. and Mrs. Michael Moroney&Cistercian Preparatory School,Fusion Corps,75039,2017,Texas,6672,NA,Houston,Houston,tx
NA,Alamogordo,USA,NA,NA,frc6682,NA,NA,NA,NA,"Dow/DoD STEM/Air Force STEM/Rocky Mountain Aspen Ranch Springs, LLC&Family/Community&Alamogordo High", A.S.T.R.O. Vikings,88310,2017,New Mexico,6682,https://www.facebook.com/TeamOutreach6682/,Houston,Houston,tx
NA,Pharr,USA,NA,NA,frc6733,NA,NA,NA,NA,Texas Workforce Commission/Dell&Home School,PSJA North Raiders,78577,2017,Texas,6733,NA,Houston,Houston,tx
NA,Dallas,USA,NA,NA,frc6751,NA,NA,NA,NA,"Texas Workforce Commission Jess Jankowitsch/SER Jobs for Progress National, Inc.&Sunset High School",RoboFlash,75208,2017,Texas,6751,http://www.dallasisinnovates.com,Houston,Houston,tx
NA,Edinburg,USA,NA,NA,frc6754,NA,NA,NA,NA,Texas Workforce Commission /Idea Public Schools/Stainless steel &Idea College Prep,Trailbots ,78541,2017,Texas,6754,NA,Houston,Houston,tx
NA,Denison,USA,NA,NA,frc6768,NA,NA,NA,NA,Eaton/NASA/Solidworks/unifirst&Denison H S,Denison Robo-Jackets,75020,2017,Texas,6768,http://Denisonengineering.com,Houston,Houston,tx
NA,Austin,USA,NA,NA,frc6800,NA,NA,NA,NA,ViperBots Friends and Family/Leander ISD/NASA/ARM/FIRST in Texas/Hanger/Civitas/Dell Computers/Convergent Technologies/Texas Workforce Commission&Vandegrift H S,ViperBots Valor,78750,2018,Texas,6800,http://viperbotsvalor6800.com/,Houston,Houston,tx
NA,Pharr,USA,NA,NA,frc6830,NA,NA,NA,NA,Texas Workforce Commission/Dell&Psja Southwest H S&Psja Southwest H S,Hogbotics,78577,2018,Texas,6830,NA,Houston,Houston,tx
NA,Plano,USA,NA,NA,frc6898,NA,NA,NA,NA,"Rochester Gauges/Lockheed Martin/NASA/Texas Workforce Commission/Dell/FIRST in Texas/Kirby Eye Center/Craig Ranch OBGYN/Alecom Metal Works, Inc./Solidworks/arm/Baldwin Metals&Family/Community",The Undergraduate School of Carrots ,75093,2018,Texas,6898,https://usocfrc.org,Houston,Houston,tx
NA,Frisco,USA,NA,NA,frc6901,NA,NA,NA,NA,Texas Workforce Comimision&Independence H S,Knights Robotics,75035,2018,Texas,6901,NA,Houston,Houston,tx
NA,Ingram,USA,NA,NA,frc6935,NA,NA,NA,NA,Texas Workforce Commission&Ingram-Tom Moore H S,Ingram Tom Moore RoboWarriors,78025,2018,Texas,6935,NA,Houston,Houston,tx
NA,Socorro,USA,NA,NA,frc6974,NA,NA,NA,NA,2018 Argosy Foundation FRC Rookie Grant/AFRL NM STEM Outreach/Leidos/New Mexico Tech&Family/Community,Zia Robotics,87801,2018,New Mexico,6974,NA,Houston,Houston,tx
NA,Lubbock ,USA,NA,NA,frc6993,NA,NA,NA,NA,FIRST in Texas/Texas Workforce Commision /Argosy/City Bank/Knights of Columbus/FRC Team 4734&Juvenile Justice Alternate Education Program ,Dragons ,79515,2018,Texas,6993,NA,Houston,Houston,tx
NA,Grand Prairie,USA,NA,NA,frc704,NA,NA,NA,NA,Lockheed Martin/Grand Prairie Ed Foundation/Ricks Consulting/Texas Workforce Commission/Decals Plus/Control Products Corporation/Grand Prairie ISD&So Grand Prairie H S,Warriors,75052,2001,Texas,704,http://www.sgprobotics.org,Houston,Houston,tx
NA,San Antonio,USA,NA,NA,frc7063,NA,NA,NA,NA,Karen Wagner H S,Wagner TSTEM FRC 1,78244,2018,Texas,7063,NA,Houston,Houston,tx
NA,Somerset,USA,NA,NA,frc7088,NA,NA,NA,NA,Somerset H S,Robodogs,78069,2018,Texas,7088,NA,Houston,Houston,tx
NA,Dallas,USA,NA,NA,frc7091,NA,NA,NA,NA,Uplift Education - Uplift Luna Secondary,Atlas Orbis,75226,2018,Texas,7091,NA,Houston,Houston,tx
NA,Austin,USA,NA,NA,frc7093,NA,NA,NA,NA,Texas Workforce Commission&Veritas Academy,Veritas Valiants,78749,2018,Texas,7093,NA,Houston,Houston,tx
NA,Houston,USA,NA,NA,frc7115,NA,NA,NA,NA,Texas Workforce/FedEx/Two Sigma&Yates H S,Red Lion Bots,77004,2018,Texas,7115,NA,Houston,Houston,tx
NA,Dallas,USA,NA,NA,frc7119,NA,NA,NA,NA,"SER Jobs for Progress National, Inc.&Sunset High School",Sunset RoboBison,75208,2018,Texas,7119,NA,Houston,Houston,tx
NA,Dallas,USA,NA,NA,frc7120,NA,NA,NA,NA,"SER Jobs for Progress National, Inc./FlowServe/Argosy Foundation/Lockheed Martin&Irma Lerma Rangel Young Women'S Leadership School",ThunderChicas,75210,2018,Texas,7120,http://rangelrobotics.wixsite.com/website,Houston,Houston,tx
NA,Keller,USA,NA,NA,frc7121,NA,NA,NA,NA,Lockheed Martin/Texas Workforce Commission/Mouser Electronics/Keller ISD&Keller H S&Fossil Ridge H S&Timber Creek H S&Central H S,Keller Fusion Robotics,76248,2018,Texas,7121,https://www.kcalrobotics.weebly.com,Houston,Houston,tx
NA,Glen Rose,USA,NA,NA,frc7125,NA,NA,NA,NA,Texas Workforce Commission & Glen Rose High School,Tigerbotics,76403,2018,Texas,7125,http://www.facebook.com/GRHSRT,Houston,Houston,tx
NA,Fischer,USA,NA,NA,frc7138,NA,NA,NA,NA,Texas Work Force Comission & Canyon Lake H S,Wing It,78623,2018,Texas,7138,NA,Houston,Houston,tx
NA,Garland,USA,NA,NA,frc7179,NA,NA,NA,NA,Texas Workforce Commission/Team Sixty Robotics LLC/LTG International&Family/Community,Crossfire,75040,2018,Texas,7179,NA,Houston,Houston,tx
NA,New Braunfels,USA,NA,NA,frc7264,NA,NA,NA,NA,Canyon H S,Cougar Robotics,78130,2018,Texas,7264,NA,Houston,Houston,tx
NA,Roswell,USA,NA,NA,frc7271,NA,NA,NA,NA,University High & Early College High School,Hanger 84 Robotics,88203,2018,New Mexico,7271,NA,Houston,Houston,tx
NA,Haslet,USA,NA,NA,frc7303,NA,NA,NA,NA,Texas Workforce Commission/Reach Robotics&V R Eaton H S,Reach Robotics,76052,2018,Texas,7303,http://www.eatonHSrobotics.org,Houston,Houston,tx
NA,Tomball,USA,NA,NA,frc7312,NA,NA,NA,NA,Tomball H S,T3,77375,2018,Texas,7312,https://tomballrobotics.wixsite.com/home,Houston,Houston,tx
NA,Garland,USA,NA,NA,frc7319,NA,NA,NA,NA,Gilbreath-Reed Career and Technical Center & Gilbreath-Reed Career and Technical Center,1UP,75040,2018,Texas,7319,NA,Houston,Houston,tx
NA,Irving,USA,NA,NA,frc7321,NA,NA,NA,NA,"SER Jobs for Progress National, Inc&Barbara Cardwell Career Preparatory Center",Aguila Robotica,75061,2018,Texas,7321,NA,Houston,Houston,tx
NA,Jadeh Mahbas,Afghanistan,NA,NA,frc7329,NA,NA,NA,NA,Microsoft Canada/Magna/Synnex &Family/Community,The Afghan Dreamers,3001,2018,Hert,7329,NA,NA,NA,tx
NA,Clute,USA,NA,NA,frc7410,NA,NA,NA,NA,Dow/Texas Workforce Commision/Argosy&Brazoswood H S,Texas Toast,77531,2019,Texas,7410,https://sites.google.com/brazosportisd.net/bwoodrobot/robotics,Houston,Houston,tx
NA,Channelview,USA,NA,NA,frc7418,NA,NA,NA,NA,Lyondelbasell/Channelview Independent School District/Puzzometry/Great Western Metals&Channelview H S,Channelview TechnoFalcons,77530,2019,Texas,7418,NA,Houston,Houston,tx
NA,Livingston,USA,NA,NA,frc7440,NA,NA,NA,NA,Livingston H S,Robo Lions (FRC),77351,2019,Texas,7440,NA,Houston,Houston,tx
NA,The Woodlands,USA,NA,NA,frc7492,NA,NA,NA,NA,"Anadarko/Argosy Foundation/FIRST in Texas/Texas Workforce Commission/Armstrong McCall/Code Ninjas/Gulf Island Fabrication, Inc. /Lavish Salon & Blowdry Bar/Lyft/Mindy Harmon Photography/Ocker Consulting & Analytics/ReMax, Michelle Harmon Team/Switzer Family/Thibaut Family/Trendsetter Vulcan Offshore/Conroe ISD&College Park H S&Academy of Science and Technology at College Park HS",CavBots (Cavalier Robotics),77384,2019,Texas,7492,https://www.facebook.com/cavalierrobotics/,Houston,Houston,tx
NA,Missouri City,USA,NA,NA,frc7494,NA,NA,NA,NA,National Aeronautics and Space Administration&Dulles H S,Circuit Bizurkers,77459,2019,Texas,7494,NA,Houston,Houston,tx
NA,Frisco,USA,NA,NA,frc7503,NA,NA,NA,NA,Improving Enterprises/Adams Emgineering & Development/IDEXX/Matt Spradley/Steve Strittmatter /UNT/Amir Rajan&Family/Community,Radicubs,75034,2019,Texas,7503,NA,Houston,Houston,tx
NA,Arlington,USA,NA,NA,frc7506,NA,NA,NA,NA,Texas Workforce Commission/Lockheed Martin&Arlington ISD Dan Dipert Career and Technical Center,Fighting Ferrets,76010,2019,Texas,7506,NA,Houston,Houston,tx
NA,Temple,USA,NA,NA,frc7508,NA,NA,NA,NA,STartEM/Temple College&STartEM ,STartEM ,76501,2019,Texas,7508,http://www.STartEM.org,Houston,Houston,tx
NA,Houston,USA,NA,NA,frc7510,NA,NA,NA,NA,Arundo Analytics&Spring Woods H S,Prowlers,77080,2019,Texas,7510,NA,Houston,Houston,tx
NA,Waco,USA,NA,NA,frc7511,NA,NA,NA,NA,Texas WorkForce Commission/NASA&Greater Waco Advanced Manufacturing Academy ,GWAMA FRC Robotics,76703,2019,Texas,7511,NA,Houston,Houston,tx
NA,Houston,USA,NA,NA,frc7518,NA,NA,NA,NA,Lee H S,Generals FRC,77057,2019,Texas,7518,NA,Houston,Houston,tx
NA,Laredo,USA,NA,NA,frc7521,NA,NA,NA,NA,NASA/American Electric Power/Deutsch & Deutsch/Warren Transport Inc.&United H S,ULTIMATE Robotics,78045,2019,Texas,7521,NA,Houston,Houston,tx
NA,El Paso,USA,NA,NA,frc7533,NA,NA,NA,NA,Bowie H S,OSO-TECH,79905,2019,Texas,7533,NA,Houston,Houston,tx
NA,Fort Worth,USA,NA,NA,frc7534,NA,NA,NA,NA,Southwest H S,Dragonflies,76133,2019,Texas,7534,NA,Houston,Houston,tx
NA,Arlington,USA,NA,NA,frc7535,NA,NA,NA,NA,Texas Workforce Commission/NASA/FIRST in Texas&Summit International Preparatory,Purple Poison,76011,2019,Texas,7535,NA,Houston,Houston,tx
NA,Sandia Park,USA,NA,NA,frc7540,NA,NA,NA,NA,East Mtn High School,The Sandia Singularities,87047,2019,New Mexico,7540,NA,Houston,Houston,tx
NA,Muleshoe,USA,NA,NA,frc7573,NA,NA,NA,NA,Muleshoe H S,MULEBOTICS,79347,2019,Texas,7573,https://classroom.google.com/u/1/c/MTY4NDkwOTg5MDJa,Houston,Houston,tx
NA,Sweeny,USA,NA,NA,frc7616,NA,NA,NA,NA,Sweeny ISD/The Dow Chemical Company/FIRST in Texas/Argosy Foundation&Sweeny H S,Cerberus,77480,2019,Texas,7616,NA,Houston,Houston,tx
NA,Spring Branch,USA,NA,NA,frc7621,NA,NA,NA,NA,Smithson Valley H S,Iron Rangers,78070,2019,Texas,7621,NA,Houston,Houston,tx
NA,Santa Fe,USA,NA,NA,frc7649,NA,NA,NA,NA,Santa Fe Public Schools/Argosy Foundation/Rio Grande Orthodonics/Guadalupe Credit Union/Toyota of Santa Fe/NuStar&Santa Fe Public Schools/All District Team,Feles Numine,87505,2019,New Mexico,7649,NA,Houston,Houston,tx
NA,Tomball,USA,NA,NA,frc7691,NA,NA,NA,NA,Tomball star academy,Oakley,77375,2019,Texas,7691,NA,Houston,Houston,tx
NA,Dallas,USA,NA,NA,frc7704,NA,NA,NA,NA,Dallas ISD STEM Department&Justin F Kimball H S,Kimball E-TECH @ Mountain View College ,75233,2019,Texas,7704,https://www.dallasisd.org/Page/2562,Houston,Houston,tx
NA,Sugar Land,USA,NA,NA,frc7705,NA,NA,NA,NA,Harmony School of Science - Houston High,Mustangs Robotics,77478,2019,Texas,7705,NA,Houston,Houston,tx
NA,Terrell,USA,NA,NA,frc7708,NA,NA,NA,NA,Terrell H S,Tiger Nation ,75160,2019,Texas,7708,https://sites.google.com/terrellisd.org/terrellhighschoolrobotics/frc/team-7708?read_current=1,Houston,Houston,tx
NA,Carrollton,USA,NA,NA,frc7720,NA,NA,NA,NA,Family/Community, Dallas Area Robotics Experience  ,75006,2019,Texas,7720,http:///www.firstinspires.org,Houston,Houston,tx
NA,Dallas,USA,NA,NA,frc7749,NA,NA,NA,NA,L G Pinkston High School,Level UP,75212,2019,Texas,7749,NA,Houston,Houston,tx
NA,Alpine,USA,NA,NA,frc7750,NA,NA,NA,NA,Alpine H S,Alpine robo bucks,79830,2019,Texas,7750,NA,Houston,Houston,tx
NA,San Antonio,USA,NA,NA,frc7837,NA,NA,NA,NA,Leaptran/Texas Workforce Commission/Argosy Foundation/First in Texas&Milton B Lee Academy of Science & Engineering,Beast of Prey,78213,2019,Texas,7837,NA,Houston,Houston,tx
NA,Wimberley,USA,NA,NA,frc7872,NA,NA,NA,NA,Dell&Wimberley H S,Wimberley Wavelengths,78676,2019,Texas,7872,NA,Houston,Houston,tx
